player_id,season,value,dropbacks,recency_dropbacks,years_experience,available_at_utc,source_manifest_hash
00-0019596,2020,0.20907989143371639,773,1666.0,21.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0019596,2021,0.1564192693360737,838,828.0,22.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0019596,2022,0.04664887111176458,828,0.0,23.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0020531,2020,0.10817846496150098,475,0.0,20.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0022924,2020,0.07512136283797292,696,692.0,17.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0022924,2021,-0.08394416106775572,692,0.0,18.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0022942,2020,0.178687447998742,608,97.0,17.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0022942,2025,-0.11541789244580733,97,0.0,22.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023436,2020,-0.13522201473040285,274,0.0,16.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023459,2020,0.30804757831437063,634,2358.0,16.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023459,2021,0.2057818709913272,592,1766.0,17.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023459,2022,-0.031817293889167896,575,1191.0,18.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023459,2024,-0.0020169089078976637,627,564.0,20.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023459,2025,-0.022191015614608674,564,0.0,21.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0023682,2020,0.17250441136918548,282,0.0,16.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026143,2020,0.08599760931083353,669,1103.0,13.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026143,2021,-0.02823914670427618,601,502.0,14.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026143,2022,-0.09122132991364625,502,0.0,15.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2020,-0.06500065386020379,141,1207.0,13.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2021,0.1430481608285188,44,1163.0,14.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2022,-0.15000427153617846,201,962.0,15.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2023,-0.10821169196237451,263,699.0,16.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2024,0.007686838472535084,267,432.0,17.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026158,2025,-0.11374926353751141,432,0.0,18.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026197,2020,0.284912756947084,49,0.0,13.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026300,2021,0.31122132878867725,88,54.0,14.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026300,2025,0.08234083929855313,54,0.0,18.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2020,0.09954971746303798,563,3066.0,12.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2021,0.20607248438586054,780,2286.0,13.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2022,-0.08779621300025944,332,1954.0,14.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2023,0.10876401419199586,589,1365.0,15.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2024,0.06648196423115178,624,741.0,16.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026498,2025,0.22139326728721925,741,0.0,17.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026544,2020,-0.33198417140697667,45,0.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026625,2020,-0.35567868272848496,26,43.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0026625,2023,-0.2042040175201024,43,0.0,4.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027688,2020,-0.11959795474066463,72,250.0,11.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027688,2021,0.13631896914624012,105,145.0,12.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027688,2022,-0.26175528641161705,145,0.0,13.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027939,2020,-0.05633375522818811,398,137.0,10.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027939,2021,-0.2899884714942649,137,0.0,11.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027948,2023,-0.44842464181010466,36,0.0,13.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2020,-0.04259713221427842,357,934.0,10.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2021,-0.11790882974502725,256,678.0,11.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2022,0.01802270005011771,404,274.0,12.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2023,0.07456278018405275,61,213.0,13.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2024,-0.15145560226477564,168,45.0,14.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0027973,2025,-0.125814897285715,45,0.0,15.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028118,2020,-0.005976033087426599,32,526.0,10.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028118,2021,-0.14297371768090958,162,364.0,11.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028118,2023,0.008222132097574207,192,172.0,13.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028118,2024,0.44252344510228375,25,147.0,14.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028118,2025,-0.08966882559955024,147,0.0,15.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028986,2021,-0.10748380745412121,77,59.0,1.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0028986,2023,-0.3500225318915549,59,0.0,3.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2020,0.08691435401851325,638,1994.0,9.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2021,0.014227346112403427,435,1559.0,10.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2022,-0.1056898684778542,538,1021.0,11.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2023,-0.07497446759003769,491,530.0,12.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2024,0.007965011785391555,401,129.0,13.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029263,2025,-0.12152288363754014,129,0.0,14.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029567,2020,-0.13741263654361238,330,90.0,9.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029567,2021,0.1384795595545842,40,50.0,10.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029567,2022,-0.6834245387002607,50,0.0,11.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2020,0.1498029682177122,558,2401.0,9.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2021,0.107009519427426,587,1814.0,10.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2022,0.04433769689987454,729,1085.0,11.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2023,0.05924800054721048,326,759.0,12.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2024,0.03395829004548604,478,281.0,13.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029604,2025,-0.022800482967766343,281,0.0,14.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029701,2020,0.22344154990307882,534,1221.0,9.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029701,2021,0.012594473949048569,603,618.0,10.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029701,2022,0.04440794090122614,358,260.0,11.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0029701,2023,-0.08709110156589235,260,0.0,12.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030520,2020,-0.12732122768915458,189,174.0,8.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030520,2021,-0.466494084115112,174,0.0,9.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030533,2020,0.006495473512173207,22,0.0,8.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030565,2021,-0.015690273957358267,107,2318.0,9.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030565,2022,0.0078484903321882,658,1660.0,10.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030565,2023,0.0637961020987381,528,1132.0,11.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030565,2024,0.005482437677730809,629,503.0,12.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0030565,2025,-0.14633694147902812,503,0.0,13.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031237,2020,0.05556690542340401,523,547.0,7.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031237,2021,0.11309841519251085,460,87.0,8.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031237,2022,-0.06750626297356128,87,0.0,9.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031280,2020,0.07783024874691612,540,2125.0,7.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031280,2021,0.031229915307972343,722,1403.0,8.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031280,2022,0.0240181972854442,532,871.0,9.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031280,2023,0.048235898990742765,581,290.0,10.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031280,2024,0.14586565405975344,290,0.0,11.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031345,2020,0.16473890066621955,151,1100.0,7.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031345,2021,0.1402826940429592,546,554.0,8.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031345,2022,0.1892507912173972,326,228.0,9.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031345,2023,-0.09728000442942125,183,45.0,10.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031345,2024,0.046169604091511926,45,0.0,11.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031395,2020,-0.23167055559961114,39,33.0,7.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031395,2021,-0.08334524565155911,33,0.0,8.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031503,2021,0.09249935168765822,172,569.0,7.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031503,2022,-0.09842414954417274,125,444.0,8.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031503,2023,-0.19977590969043296,49,395.0,9.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031503,2024,-0.09240415747213662,326,69.0,10.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031503,2025,0.223068130264241,69,0.0,11.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031800,2020,0.0257825574289977,67,950.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031800,2021,-0.079180301268442,532,418.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031800,2022,-0.04532468534331664,276,142.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0031800,2023,-0.009925923133013255,142,0.0,4.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032156,2021,-0.05220052581211192,201,189.0,7.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032156,2022,-0.2555139761601228,28,161.0,8.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032156,2023,-0.33909754805418435,161,0.0,9.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032245,2021,-0.2871472488971817,38,0.0,7.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032268,2020,0.3104375181332911,27,643.0,6.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032268,2022,-0.0206033688612956,326,317.0,8.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032268,2023,-0.19654214862939665,26,291.0,9.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032268,2024,0.4103011310316813,47,244.0,10.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032268,2025,-0.007710550328687299,244,0.0,11.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032434,2020,-0.09821579601078108,149,101.0,5.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032434,2021,-0.293563847769059,38,63.0,6.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032434,2024,-0.5460205277187683,32,31.0,9.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032434,2025,-0.7751093824267532,31,0.0,10.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032436,2020,-0.17815507349396786,76,51.0,5.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032436,2022,-0.09142459227322516,22,29.0,7.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032436,2023,-0.37783476018651935,29,0.0,8.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2020,-0.16783255866030197,492,1099.0,5.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2021,0.01278222638453853,552,547.0,6.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2022,-0.12919628524190283,309,238.0,7.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2023,0.3006612245264049,27,211.0,8.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2024,-0.2937281832038831,23,188.0,9.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0032950,2025,0.03392912667067176,188,0.0,10.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2020,0.1115331252246602,233,2796.0,5.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2021,0.14181976334848573,678,2118.0,6.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2022,0.1119651900229671,486,1632.0,7.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2023,0.15488459974909072,695,937.0,8.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2024,-0.0628091833448867,307,630.0,9.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033077,2025,0.16517417582398192,630,0.0,10.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2020,0.02422483757054275,627,3114.0,5.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2021,-0.0629625286120401,529,2585.0,6.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2022,0.1584612932268514,610,1975.0,7.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2023,0.12874493124395062,754,1221.0,8.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2024,0.253254258016018,607,614.0,9.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033106,2025,0.17447773411323916,614,0.0,10.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033119,2021,-0.10819289833489316,244,1123.0,6.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033119,2022,0.03536537165374943,391,732.0,7.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033119,2023,0.7119884693972341,23,709.0,8.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033119,2024,-0.20728104425603378,179,530.0,9.0,2025-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033119,2025,-0.011969332848812736,530,0.0,10.0,2026-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033275,2020,-0.3741083137100405,60,307.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033275,2021,-0.19961598071070372,73,234.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033275,2022,-0.17638860208811055,113,121.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033275,2023,-0.28825229080692877,121,0.0,4.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2020,0.009003945282128183,347,213.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2021,0.07941313986830852,29,184.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2022,0.4974998056324982,25,159.0,3.0,2023-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033319,2023,0.07904078833113314,159,0.0,4.0,2024-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033357,2020,-0.02063423752716794,136,162.0,1.0,2021-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
00-0033357,2021,-0.07970011277530735,141,21.0,2.0,2022-02-15T00:00:00Z,daec211cfe940ff0b8c175d9b16010e7
