test_season,market,n,brier,log_loss,mae,rmse
2018,moneyline,265,0.22249251623673094,0.6371671861465532,,
2018,ats,259,0.2501931568008846,0.6935332637067635,,
2018,total,264,0.25076020231692364,0.6947963522560665,,
2018,moneyline_legacy_elo,265,0.2232733536675056,0.6350643494736865,,
2018,ats_coin_flip,259,0.25,0.6931471805599453,,
2018,total_coin_flip,264,0.25,0.6931471805599453,,
2018,margin,267,,,10.225754113177977,13.279006020368112
2018,margin_legacy_elo,267,,,10.294178735729147,13.426483908402282
2018,points_total,267,,,10.895908545450276,13.831779250643866
2018,points_total_legacy,267,,,11.668355664452303,15.295681043048733
2019,moneyline,266,0.21341180948538868,0.6165379699092628,,
2019,ats,258,0.24652714915280158,0.6861861119672991,,
2019,total,265,0.25170890374565263,0.6965699364028437,,
2019,moneyline_legacy_elo,266,0.22375824417070428,0.640190200088368,,
2019,ats_coin_flip,258,0.25,0.6931471805599453,,
2019,total_coin_flip,265,0.25,0.6931471805599453,,
2019,margin,267,,,10.052902941978925,12.999604962849508
2019,margin_legacy_elo,267,,,10.49919094937115,13.478020566453255
2019,points_total,267,,,11.050105037769532,13.717757457520984
2019,points_total_legacy,267,,,11.389092008460628,14.36205485961591
